id,state,place,latitude,longitude
1270668,Andhra Pradesh,Guntur,16.29974,80.45729
1269655,Arunachal Pradesh,Itanagar,27.08694,93.60987
1256287,Assam,Silchar,24.82733,92.79787
1260086,Bihar,Patna,25.59408,85.13563
1258980,Chhattisgarh,Raipur,21.23333,81.63333
1273793,Goa,Cuncolim,15.1773,73.99392
1270642,Haryana,Gurugram,28.4601,77.02635
1273648,Himachal Pradesh,Dalhousie,32.55219,75.94663
1269300,Jharkhand,Jamshedpur,22.80278,86.18545
1277333,Karnataka,Bengaluru,12.97194,77.59369
1254163,Kerala,Thiruvananthapuram,8.4855,76.94924
1269633,Madhya Pradesh,Jabalpur,23.16697,79.95006
1275339,Maharashtra,Mumbai,19.07283,72.88261
1269771,Manipur,Imphal,24.80805,93.9442
1256523,Meghalaya,Shillong,25.56892,91.88313
1279186,Mizoram,Aizawl,23.72894,92.71791
1272552,Nagaland,Dimapur,25.91174,93.7217
1258315,Odisha,Rourkela,22.22496,84.86414
1278710,Punjab,Amritsar,31.62234,74.87534
1268865,Rajasthan,Jodhpur,26.26841,73.00594
7279751,Sikkim,Jorethang,27.10696,88.32332
1264527,Tamil Nadu,Chennai,13.08784,80.27847
1269843,Telangana,Hyderabad,17.38405,78.45636
1279290,Tripura,Agartala,23.83605,91.27939
1264733,Uttar Pradesh,Lucknow,26.83928,80.92313
1258128,Uttarakhand,Rishikesh,30.10778,78.29255
1275004,West Bengal,Kolkata,22.56263,88.36304
1259385,Andaman and Nicobar Islands,Port Blair,11.66613,92.74635
1274746,Chandigarh,Chandigarh,30.73629,76.7884
1256259,Dadra and Nagar Haveli and Daman and Diu,Silvassa,20.27386,72.99673
1261481,Delhi,New Delhi,28.62137,77.2148
1255634,Jammu and Kashmir,Srinagar,34.08565,74.80555       
3003796,Ladakh,Leh,49.49346,0.10785
12382221,Lakshadweep,Agatti,10.83522,72.18217
1259425,Puducherry,Puducherry,11.93381,79.82979
